City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,relizane,35.7373,0.556,27.65,19,99,6.29,DZ,1715273142
330,talent,42.2457,-122.7887,17.23,54,0,6.26,US,1715273142
331,kodiak,57.79,-152.4072,-1.27,93,20,0.0,US,1715273142
332,ambovombe,-25.1667,46.0833,22.04,79,0,4.46,MG,1715273142
333,coro,11.4045,-69.6734,31.75,66,100,7.73,VE,1715273075
334,tharangambadi,11.0319,79.8528,29.78,77,35,5.04,IN,1715273143
335,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715273143
336,gadzhiyevo,69.2551,33.3362,-2.19,80,94,3.71,RU,1715273143
337,san luis de la loma,17.2706,-100.8939,29.77,54,35,3.55,MX,1715273143
338,kitimat,54.0524,-128.6534,12.6,76,95,0.89,CA,1715273143
339,tongliao,43.6125,122.2653,19.49,27,93,8.53,CN,1715273144
340,chillicothe,39.3331,-82.9824,22.8,64,100,4.63,US,1715273144
341,binzhou,37.3667,118.0167,19.74,38,82,6.45,CN,1715273144
342,krasnovishersk,60.4078,57.082,-1.59,85,96,3.0,RU,1715273144
343,enriquillo,17.9,-71.2333,30.82,66,59,5.01,DO,1715273145
344,ak'ordat,15.5486,37.8867,35.69,21,8,7.45,ER,1715273145
345,taitung city,22.7583,121.1444,21.51,79,57,3.0,TW,1715273145
346,konarka,19.9,86.1167,29.22,78,68,1.3,IN,1715273145
347,vilyuchinsk,52.9306,158.4028,4.4,77,3,4.09,RU,1715273146
348,sao vicente,-23.9631,-46.3919,34.1,32,20,3.09,BR,1715273146
349,isangel,-19.55,169.2667,21.54,71,51,4.49,VU,1715273146
350,chaman,30.9236,66.4512,26.5,31,63,4.85,PK,1715273046
351,klaksvik,62.2266,-6.589,8.51,71,45,7.47,FO,1715273146
352,tabou,4.423,-7.3528,29.65,73,94,2.74,CI,1715273147
353,santiago,-33.4569,-70.6483,20.71,52,0,1.54,CL,1715272597
354,tottori,35.5,134.2333,10.04,42,14,3.78,JP,1715273147
355,pacocha,-17.5833,-71.3333,19.08,77,75,2.06,PE,1715273147
356,las tablas,7.7667,-80.2833,28.07,78,100,1.77,PA,1715273147
357,chui,-33.6971,-53.4616,14.59,61,0,2.97,UY,1715273148
358,usevia,-7.1,31.2333,21.21,76,60,1.88,TZ,1715273148
359,alta,69.9689,23.2717,4.59,45,75,6.69,NO,1715273148
360,at taj,24.2049,23.2857,33.57,6,0,4.88,LY,1715273148
361,ciudad lazaro cardenas,17.9583,-102.2,28.03,58,28,3.02,MX,1715273148
362,leava,-14.3,-178.1667,27.96,66,99,6.98,WF,1715273149
363,adrar,20.5022,-10.0711,41.07,4,85,1.5,MR,1715273149
364,yeniseysk,58.4497,92.1703,4.97,84,100,3.58,RU,1715273149
365,san andres,12.5847,-81.7006,32.01,70,20,5.14,CO,1715273149
366,assen,52.9967,6.5625,18.36,68,100,2.06,NL,1715273149
367,jianjiang,26.5497,119.755,16.14,85,100,2.17,CN,1715273150
368,luderitz,-26.6481,15.1594,16.0,77,23,6.54,NA,1715273150
369,bukoba,-1.3317,31.8122,21.04,82,99,2.69,TZ,1715273150
370,sanctuary point,-35.1114,150.629,14.62,89,100,2.58,AU,1715273150
371,sittwe,20.15,92.9,28.2,69,0,4.12,MM,1715273151
372,shiguai,40.7058,110.2856,14.91,76,100,1.27,CN,1715273151
373,andalgala,-27.5819,-66.3165,20.04,32,46,4.22,AR,1715273151
374,kerikeri,-35.2268,173.9474,6.62,84,25,1.34,NZ,1715273151
375,pangody,65.85,74.4859,0.33,98,100,10.51,RU,1715273151
376,colinas,-6.0258,-44.2492,33.31,42,100,2.96,BR,1715273152
377,grand falls-windsor,48.9332,-55.6649,10.84,61,99,1.34,CA,1715272991
378,inari,68.906,27.0288,4.11,81,100,3.27,FI,1715273152
379,kirakira,-10.4544,161.9205,25.34,86,98,3.48,SB,1715273152
380,ataq,14.5377,46.8319,26.88,59,42,6.91,YE,1715273153
381,ardanuc,41.1274,42.0629,14.51,64,7,2.06,TR,1715273153
382,alo,7.4178,6.7371,36.08,44,87,1.73,NG,1715273153
383,malango,-2.9627,119.9001,19.69,98,97,0.97,ID,1715273153
384,olyokminsk,60.3736,120.4264,-0.65,85,98,1.2,RU,1715273153
385,vernon,50.2581,-119.2691,18.46,41,35,2.06,CA,1715273033
386,phang nga,8.4509,98.5298,26.02,89,73,0.47,TH,1715272865
387,sao miguel do araguaia,-13.275,-50.1628,33.43,31,2,3.34,BR,1715273154
388,callao,-12.0667,-77.15,19.16,88,75,2.57,PE,1715272973
389,guaruja,-23.9931,-46.2564,33.92,26,20,3.09,BR,1715273082
390,devonport,-41.1667,146.35,13.07,89,60,4.1,AU,1715273001
391,el charco,2.4769,-78.1105,25.7,89,100,0.19,CO,1715273155
392,phan rang-thap cham,11.5667,108.9833,26.06,85,58,1.84,VN,1715273155
393,mumbwa,-14.9783,27.0619,19.8,41,83,2.56,ZM,1715273155
394,macusani,-14.0833,-70.4333,11.67,34,18,2.66,PE,1715273155
395,north bend,43.4065,-124.2243,18.42,72,0,2.06,US,1715273156
396,chinde,26.8418,88.0763,18.56,62,88,1.87,NP,1715273156
397,antonio enes,-16.2325,39.9086,25.46,74,13,3.89,MZ,1715273156
398,la sarre,48.8002,-79.1996,13.53,39,40,4.87,CA,1715273107
399,ust'-kut,56.7938,105.7672,0.8,97,96,2.68,RU,1715273156
400,krasnoturansk,54.3186,91.5639,9.57,48,50,1.79,RU,1715273157
401,hrazdan,40.4975,44.7662,8.41,75,18,0.76,AM,1715273157
402,chernyshevsk,52.5243,117.0174,8.36,72,86,2.27,RU,1715273157
403,viradouro,-20.8731,-48.2969,32.6,24,58,1.24,BR,1715273157
404,manggar,-2.8833,108.2667,27.86,78,92,3.27,ID,1715273158
405,tura,25.5198,90.2201,20.7,88,77,1.14,IN,1715273158
406,mishelevka,52.8575,103.1719,3.92,84,96,7.67,RU,1715273158
407,namtsy,62.7161,129.6658,-2.75,79,35,4.3,RU,1715273158
408,novomyrhorod,48.7811,31.642,10.18,65,66,3.07,UA,1715273158
409,hilo,19.7297,-155.09,24.6,97,100,1.54,US,1715273159
410,margate,51.3813,1.3862,17.17,69,20,3.64,GB,1715273152
411,murzuq,25.9155,13.9184,31.12,14,98,5.63,LY,1715273159
412,zgurovka,50.5028,31.7849,7.52,59,11,2.16,UA,1715273160
413,kenai,60.5544,-151.2583,2.05,99,100,4.12,US,1715273160
414,bonner,48.8333,-117.0013,16.83,39,2,1.49,US,1715273160
415,bargaal,11.2864,51.0773,29.25,79,99,2.22,SO,1715273160
416,kill devil hills,36.0307,-75.676,27.01,59,40,4.63,US,1715273056
417,kimbe,-5.5502,150.1429,24.71,94,100,1.6,PG,1715273161
418,salekhard,66.53,66.6019,-3.11,95,100,11.62,RU,1715273161
419,naliya,23.2667,68.8333,28.01,81,0,4.46,IN,1715273161
420,padang,-0.9492,100.3543,27.03,87,96,2.0,ID,1715273162
421,kone,-21.0595,164.8658,17.1,79,9,1.49,NC,1715273162
422,otuzco,-7.9,-78.5833,17.4,60,43,3.59,PE,1715273162
423,el tigre,8.8875,-64.2454,35.35,34,92,4.98,VE,1715273162
424,balikpapan,-1.2675,116.8289,25.55,94,20,1.54,ID,1715273163
425,cidreira,-30.1811,-50.2056,18.22,62,55,5.02,BR,1715273163
426,nabire,-3.3667,135.4833,25.01,95,93,1.18,ID,1715273163
427,tarko-sale,64.9225,77.785,1.43,98,100,9.24,RU,1715272911
428,turbat,26.0023,63.044,33.23,33,0,4.08,PK,1715273163
429,pooler,32.1155,-81.2471,29.42,64,100,5.66,US,1715273164
430,tomatlan,19.9333,-105.25,32.17,31,0,2.62,MX,1715273164
431,quatre cocos,-20.2078,57.7625,25.06,73,61,8.68,MU,1715273164
432,bubaque,11.2833,-15.8333,26.78,69,44,6.36,GW,1715273164
433,sabang,5.8933,95.3214,30.02,68,34,1.52,ID,1715273165
434,bolgar,54.95,49.0667,3.07,53,75,7.56,RU,1715273165
435,bovalino,38.149,16.174,18.52,81,100,3.52,IT,1715273165
436,tyukhtet,56.5389,89.3011,7.03,65,96,3.27,RU,1715273165
437,shenjiamen,29.9576,122.298,15.63,83,99,5.64,CN,1715273166
438,barra dos coqueiros,-10.9089,-37.0386,30.01,70,20,7.2,BR,1715273166
439,angarsk,52.5367,103.8864,5.4,87,72,6.87,RU,1715273166
440,greenland,43.0362,-70.8328,17.38,68,100,5.14,US,1715273166
441,penrith,54.6658,-2.7576,17.91,78,99,0.42,GB,1715273027
442,uusikaupunki,60.8004,21.4084,4.6,87,100,4.25,FI,1715273167
443,remire-montjoly,4.9167,-52.2667,28.02,83,75,1.54,GF,1715273167
444,salima,-13.7804,34.4587,24.0,63,56,0.32,MW,1715273167
445,alice town,25.7167,-79.3,25.69,71,0,4.37,BS,1715273168
446,bacau,46.5667,26.9,15.48,50,0,3.6,RO,1715272444
447,opuwo,-18.0607,13.84,25.71,43,88,0.86,NA,1715273168
448,yelets,52.6237,38.5017,3.35,54,76,3.2,RU,1715273168
449,guerrero negro,27.9769,-114.0611,18.55,58,36,4.91,MX,1715273072
450,mount gambier,-37.8333,140.7667,11.39,79,77,1.96,AU,1715273169
451,huilong,31.8111,121.655,15.47,74,100,7.29,CN,1715273169
